Student_ID,Name,Branch,Subject,password
101,Akhila,CSE,Math,pass101
111,Adithi,ECE,Chemistry,pass111
121,Akshitha,CSD,Physics,pass121
102,Ashritha,CSE,Math,pass102
112,Bhargavi,ECE,Chemistry,pass112
122,Bhavitha,CSD,Physics,pass122
103,Bharathi,CSE,Math,pass103
113,Bharath,ECE,Chemistrypass113,
123,Charitha,CSD,Physics,pass123
104,Charvisri,CSE,Math,pass104
114,Chandana,ECE,Chemistry,pass114
124,Chaitanya,CSD,Physics,pass124
105,Chandra,CSE,Math,pass105
115,Ganesh,ECE,Chemistry,pass115
106,Hasini,CSE,Math,pass106
125,Lokesh,CSD,Physics,pass125
116,Lalitha,ECE,Chemistry,pass116
126,Likhith,CSD,Physics,pass126
107,Rishika,CSE,Math,pass107
117,Rahul,ECE,Chemistry,pass117
127,Shivani,CSD,Physics,pass127
108,Sudeepthi,CSE,Math,pass108
128,Suhas,CSD,Physics,pass128
118,Tejasri,ECE,Chemistry,pass118
129,Tejaswini,CSD,Physics,pass129
109,Vennela,CSE,Math,pass109
119,Varun,ECE,Chemistry,pass119
